ID|CourseName|Instructor|Credit|Pre-requisite|Reference
VM458|Automotive Engineering||3|Vm 350|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=466
VE520|Electronic and Optical Properties of Semiconductors||3|Ve 420|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=302
VM515|Electrical, Optical and Magnetic Properties of Materials||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=349
VR238|British Empire and “Informal” Imperialism in the Nineteenth-Century||4|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=268
VR380|Topics in Asian Studies: Political and Economic Development in Pacific Asia||4|Sophomore or above, or instructors permission|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=419
VE449|Mobile Applications for Entrepreneurs||3|Ve281 and Ve370|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=432
VM461|Automatic Control||3|Vm 360|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=467
VE521|High Speed Transistors||4|Ve 421 Properties of Transistors|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=303
VM516|Energy Methods in Solid Mechanics||3|Vm211 Introduction to Solid Mechanics and Vm311 Strength of Materials|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=350
VR241|Comparative Literature: Fairy Tales||3|Vy 200 or Vy 125 or equivalent|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=269
VE450|Capstone Design||4|Ve216, Ve280, Ve311, and senior standing or instructor’s permission|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=433
VM466|Statistical Quality Control||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=468
VE522|Analog Integrated Circuits||4|Ve413 Monolithic Amplifier Circuits|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=304
VM517|Mechanical Properties of Polymers||3|Me211|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=351
VR242|Happiness and the Meaning of Life||3|Vy 100/200|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=270
VE451|Digital Signal Processing and Analysis||4|Ve 216|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=434
VM467|Introduction to Robotics||3|Vm240 or Ve216|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=469
VE523|Digital Integrated Technology||4|Ve423 or Ve425 and Ve311 Electronic Circuits and Ve320 Introduction to Semiconductor Devices|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=305
VM518|Advanced Mechanics of Composite Materials||3|Vm382|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=352
VR246|Introduction to Comics and Graphic Novels||3|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=271
VE452|Digital Signal Processing Design Laboratory||4|Ve 280 and Ve 216|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=435
VM481|Manufacturing Processes||3|Vm382|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=470
VE525|Advanced Solid State Microwave Circuits||4|Ve330 Electromagnetics II and Ve421 Properties of Transistors or Ve521 High Speed Transistors|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=306
VM519|Theory of Plasticity||3|Vm211 Introduction to Solid Mechanics and Vm311 Strength of Materials|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=353
VR253|Culture，Technology and Silicon Valley||3|Vy 100, Vy200|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=272
VE455|Digital Communication Signals and Systems||4|Ve 216 and Ve 401|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=436
VM482|Machining Process||3|VM382|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=471
VE527|Computer-Aided Design of Integrated Circuits||4|Ve281 Data Structures and Algorithm or graduate standing, Ve312 Digital Integrated Circuits|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=307
VM520|Advanced Fluid Mechanics||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=354
VR258|The History of Modern China’s Foreign Relations||4|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=273
VE458|Biomedical Instrumentation and Design||4|Ve 215|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=437
VM490|Undergraduate Research||3|junior standing and up|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=472
VE530|Electromagnetic Theory I||3|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=308
VM521|Compressible Flow||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=355
VR259|Memory: A New Approach to China’s 20th Century History||4|Vy 100|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=274
VE460|Control Systems Analysis and Design||3|Ve 216|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=438
VM495|Laboratory II||4|Vm 395 , preceded or accompanied by Vm 350 and Vm 360. May not be taken concurrently with Vm450 or instructor’s permission.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=473
VE531|Antenna Theories and Design||3|Ve530 Electromagnetic Theory I|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=309
